Date,Open,High,Low,Close,Adj Close,Volume
2024-03-01,81.97000122070312,84.3499984741211,81.80999755859375,83.55000305175781,83.55000305175781,30885
2024-03-04,83.58999633789062,84.06999969482422,82.58000183105469,82.80000305175781,82.80000305175781,26396
2024-03-05,82.97000122070312,83.13999938964844,81.7300033569336,82.04000091552734,82.04000091552734,37442
2024-03-06,82.08000183105469,84.05999755859375,81.88999938964844,82.95999908447266,82.95999908447266,35173
2024-03-07,82.83999633789062,83.47000122070312,82.06999969482422,82.95999908447266,82.95999908447266,32447
2024-03-08,83.33999633789062,83.83999633789062,81.70999908447266,82.08000183105469,82.08000183105469,26605
2024-03-11,81.91000366210938,82.7300033569336,81.08000183105469,82.20999908447266,82.20999908447266,28619
2024-03-12,82.43000030517578,83.01000213623047,81.69000244140625,81.91999816894531,81.91999816894531,29951
2024-03-13,82.38999938964844,84.22000122070312,81.97000122070312,84.02999877929688,84.02999877929688,34043
2024-03-14,83.9800033569336,85.68000030517578,83.94000244140625,85.41999816894531,85.41999816894531,34250
2024-03-15,85.12999725341797,85.55000305175781,84.62999725341797,85.33999633789062,85.33999633789062,23623
2024-03-18,85.37999725341797,87.18000030517578,85.26000213623047,86.88999938964844,86.88999938964844,33687
2024-03-19,86.8499984741211,87.70999908447266,86.48999786376953,87.37999725341797,87.37999725341797,30045
2024-03-20,87.22000122070312,87.3499984741211,85.58000183105469,85.94999694824219,85.94999694824219,35304
2024-03-21,86.16000366210938,86.63999938964844,85.05000305175781,85.77999877929688,85.77999877929688,23829
2024-03-22,85.55000305175781,86.1500015258789,85.11000061035156,85.43000030517578,85.43000030517578,14778
2024-03-25,85.5999984741211,87.18000030517578,85.4000015258789,86.75,86.75,21176
2024-03-26,86.7699966430664,87.05000305175781,85.80999755859375,86.25,86.25,12736
2024-03-27,85.97000122070312,86.36000061035156,85.18000030517578,86.08999633789062,86.08999633789062,8449
2024-03-28,86.52999877929688,87.4800033569336,86.31999969482422,87.4800033569336,87.4800033569336,30759
2024-04-01,86.93000030517578,87.98999786376953,86.4000015258789,87.41999816894531,87.41999816894531,29598
2024-04-02,87.80000305175781,89.27999877929688,87.6500015258789,88.91999816894531,88.91999816894531,40754
2024-04-03,89.20999908447266,89.9800033569336,88.68000030517578,89.3499984741211,89.3499984741211,35138
2024-04-04,89.5,91.30000305175781,88.7300033569336,90.6500015258789,90.6500015258789,38764
2024-04-05,91.01000213623047,91.91000366210938,90.56999969482422,91.16999816894531,91.16999816894531,37391
2024-04-08,90.30999755859375,91.0999984741211,88.80000305175781,90.37999725341797,90.37999725341797,39142
2024-04-09,90.55000305175781,90.94000244140625,89.2699966430664,89.41999816894531,89.41999816894531,33993
2024-04-10,89.51000213623047,90.66000366210938,88.83000183105469,90.4800033569336,90.4800033569336,51136
2024-04-11,90.54000091552734,90.91999816894531,89.37000274658203,89.73999786376953,89.73999786376953,47337
2024-04-12,90.29000091552734,92.18000030517578,90.01000213623047,90.44999694824219,90.44999694824219,43560
2024-04-15,90.37000274658203,91.1500015258789,88.7300033569336,90.0999984741211,90.0999984741211,35488
2024-04-16,90.43000030517578,90.83000183105469,89.41000366210938,90.0199966430664,90.0199966430664,34348
